Attribute,North Beach,Russian Hill,Financial District,Chinatown,Nob Hill,Tenderloin,Marina,Pacific Heights,Presidio Heights,Western Addition,Japantown,Lone Mountain/USF,Hayes Valley,Haight Ashbury,Castro/Upper Market,South of Market,Mission,Treasure Island,Twin Peaks,Noe Valley,Glen Park,Potrero Hill,Bayview Hunters Point,Bernal Heights,Outer Mission,Excelsior,Portola,Visitacion Valley,Inner Sunset,West of Twin Peaks,Oceanview/Merced/Ingleside,Sunset/Parkside,Lakeshore,Inner Richmond,Outer Richmond,Seacliff,Presidio,Mission Bay,Lincoln Park,Golden Gate Park,McLaren Park,sf,Category
2-4 Units,0.32936979785969084,0.27891455168174234,0.008071802903439552,0.12202937249666222,0.08369432411418416,0.018937252685132844,0.3102255431022554,0.14640231092436976,0.3006841915736406,0.1182106216053108,0.08633968382650993,0.4893867924528302,0.23207429234753102,0.40443031034104615,0.4011229905391893,0.06331905241935484,0.3102705112960761,0.28614008941877794,0.11643835616438356,0.3659054249087359,0.24108527131782945,0.25950570342205326,0.18338000454098236,0.3268808621033726,0.10668861289839893,0.0951240376390077,0.09748427672955975,0.11218130311614731,0.3255867641400539,0.059420582106607514,0.12382784323154604,0.18146678170836927,0.11762609160577438,0.46421923474663906,0.41219312207591763,0.12732615083251714,0.48743718592964824,0.009481101857783471,0.0,0.0,0.0,0.20975849955168815,Structure Type
5-9 Units,0.16158012947549213,0.20093088609818213,0.009035600265044274,0.1212283044058745,0.11723869821170721,0.017288486904088938,0.13816244638162448,0.15894170168067226,0.12387468491177529,0.09935123717561858,0.04377786785569518,0.16538915094339623,0.14965621930529513,0.23522316043425814,0.1466810245365741,0.055506552419354836,0.15918549346016647,0.3025335320417288,0.12038988408851423,0.12895831564648952,0.023772609819121448,0.05620247148288973,0.05661091349428593,0.03651965675513869,0.021397575938949573,0.0388366124893071,0.016705974842767295,0.07837582625118036,0.1036552520200077,0.011494252873563218,0.016229862947823998,0.04207075064710958,0.03707004099091071,0.16328852119958634,0.1227511696329523,0.05386875612144956,0.03948312993539124,0.0,0.0,0.42857142857142855,0.0,0.09278340413230834,Structure Type
10-19 Units,0.06302021403091558,0.18687977518222534,0.026564664779230168,0.14886515353805074,0.18043985338220594,0.06519690974185038,0.2770859277708593,0.1875656512605042,0.1564638098667627,0.1148159324079662,0.13498175922172678,0.1391509433962264,0.17483703902134118,0.14431406952516723,0.10191523728943927,0.07150957661290322,0.10088436385255647,0.06557377049180328,0.20363540569020022,0.04541981492486629,0.012919896640826873,0.08578897338403042,0.031105729206084915,0.026940730393135104,0.00882837049229388,0.03900769888793841,0.01395440251572327,0.020585457979225685,0.10442477876106195,0.016065066881763797,0.0024044241404183697,0.014012079378774805,0.08465514168597398,0.1203722854188211,0.08267013939130854,0.058765915768854066,0.013639626704953339,0.006918641896220372,0.0,0.42857142857142855,0.0423728813559322,0.09014742845383858,Structure Type
20 Units or More,0.3649094992733518,0.27188899622376395,0.8965122582976929,0.5831775700934579,0.5860824169721204,0.8846806105144149,0.14646464646464646,0.36712184873949577,0.13233705437522505,0.6176825588412794,0.7036886907174706,0.08800117924528301,0.3744084293240468,0.0791753481741419,0.13206676409506962,0.758820564516129,0.2728894173602854,0.06706408345752608,0.14673340358271866,0.10077256133797437,0.09767441860465116,0.38165399239543724,0.16529175811700597,0.04659748553182998,0.027233278467754002,0.006330196749358426,0.03714622641509434,0.015108593012275733,0.08618699499807618,0.0363648585064193,0.06071170954556384,0.024020707506471096,0.5770807342719658,0.028955532574974147,0.05484010996961366,0.0,0.1658291457286432,0.9683536194746957,0.0,0.0,0.9576271186440678,0.3023067236978133,Structure Type
Other Type,0.004095653322763905,0.0009660138754720296,0.0008433226914041323,0.003471295060080107,0.0010552038209485728,0.002308272093461466,0.0010377750103777502,0.0005908613445378151,0.0,0.001056125528062764,0.0,0.0,0.0,0.0017545783528895712,0.0018460118452426736,0.0,0.007208680142687277,0.0,0.007112750263435195,0.0014432464555564988,0.0,0.0,0.00877923257398017,0.006385950908002395,0.0013467005835702528,0.0013686911890504706,0.0,0.0013220018885741266,0.004694113120430935,0.0008738320898030517,0.0009617696561673479,0.0006212251941328732,0.0012475494564248798,0.0,0.0,0.0,0.012921751615218953,0.0,0.0,0.0,0.0,0.001967182592761356,Structure Type
No Bedroom,0.21059585149953758,0.11407745674892421,0.20528883802180592,0.49612817089452604,0.3388315006109075,0.6224326361409459,0.13262764632627647,0.17089023109243698,0.07742167806985956,0.1763729631864816,0.3177948925820835,0.06338443396226415,0.21171533172604698,0.09419892532075885,0.10106914852703638,0.3705897177419355,0.17107609988109393,0.0,0.09088514225500527,0.048221410985652434,0.03152454780361757,0.16528041825095058,0.036252175887383636,0.03971263220913989,0.03576238216369894,0.034901625320787,0.05817610062893082,0.033616619452313506,0.07564447864563294,0.016401156147072663,0.03426304400096177,0.029370146678170835,0.09606130814471574,0.061944157187176836,0.06492065788839049,0.0,0.0208183776022972,0.09878283151825752,0.0,0.21428571428571427,0.0423728813559322,0.15420212739895836,Unit Size
1 Bedroom,0.30836305984938567,0.4002810222183191,0.37407385097283297,0.19105473965287048,0.37326446739975566,0.27595628415300544,0.3609381486093815,0.3704044117647059,0.2545912855599568,0.42192214846107423,0.42197000405350626,0.32443985849056606,0.31574247700687563,0.32404868954929267,0.29566956387970156,0.33102318548387094,0.2771626040428062,0.022354694485842028,0.267913593256059,0.27532048560998384,0.15684754521963823,0.23811787072243346,0.14183001589343827,0.16733186988625026,0.07167439772557235,0.08776732249786141,0.10966981132075472,0.07101038715769593,0.2773374374759523,0.04711971499630302,0.10110603510459246,0.09508196721311475,0.3389770094457316,0.2377456049638056,0.23296194472579945,0.02056807051909892,0.11844938980617373,0.31697629724535553,0.0,0.6071428571428571,0.9152542372881356,0.25443779734344607,Unit Size
2 Bedrooms,0.29079138591623727,0.3336260648107491,0.3158243479308475,0.1638184245660881,0.21059646784405198,0.05827209346146599,0.2907845579078456,0.23220850840336135,0.2587324450846237,0.21326191913095957,0.15849209566274827,0.35141509433962265,0.3258326636306813,0.25923895163943417,0.3464348896238751,0.224609375,0.31603002378121287,0.2697466467958271,0.29768177028451,0.30758128873418794,0.341343669250646,0.36394961977186313,0.34912586089457354,0.3530233486330074,0.39218913661529253,0.3360992301112062,0.35455974842767296,0.4001888574126534,0.3177375913813005,0.2606708341735565,0.37809569608078863,0.3639344262295082,0.4063446800926751,0.3338159255429162,0.34370327497226644,0.22918707149853085,0.1823402727925341,0.4612427930813581,0.0,0.0,0.0,0.29697842713585076,Unit Size
3-4 Bedrooms,0.18205839608931165,0.14472644243435498,0.0996325522558882,0.10894526034712951,0.0730312118182828,0.026615790465423027,0.18963608689636086,0.18960084033613445,0.3287720561757292,0.18029571514785758,0.09485204702067289,0.24705188679245282,0.14331636753281543,0.2991556091676719,0.23767402507499424,0.06205897177419355,0.22183412604042807,0.6616989567809239,0.33113804004214964,0.3415400288649291,0.45891472868217054,0.217680608365019,0.4338908650571407,0.42386749151865893,0.44022145742929825,0.49837467921300255,0.4123427672955975,0.4636449480642115,0.30565602154674876,0.5797539826577939,0.44566001442654485,0.4699913718723037,0.15861700231687756,0.32998965873836605,0.32108233251338447,0.5788442703232125,0.6410624551328069,0.12299807815502883,0.0,0.0,0.0423728813559322,0.267644623442545,Unit Size
5 or More Bedrooms,0.00819130664552781,0.007289013787652586,0.005180410818625384,0.04005340453938585,0.00427635232700211,0.0167231957791596,0.026013560260135602,0.036896008403361345,0.08048253510983075,0.008147254073627036,0.006890960680989056,0.01370872641509434,0.0033931601035806767,0.023357824322842415,0.019152372894392738,0.01171875,0.013897146254458977,0.046199701937406856,0.01238145416227608,0.027336785805246625,0.011369509043927648,0.01497148288973384,0.03890108226746386,0.016064657752943523,0.060152626066137964,0.04285714285714286,0.06525157232704402,0.03153918791312559,0.023624470950365524,0.09605431202527391,0.04087521038711229,0.0416220880069025,0.0,0.03650465356773527,0.03733178990015917,0.1714005876591577,0.03732950466618808,0.0,0.0,0.17857142857142858,0.0,0.0267370246791998,Unit Size
Median Rent,2150.3359462486,2442.391304347826,3180.820948336872,830.1813471502591,2067.60941370768,1230.5443548387098,3099.363507779349,2879.5490506329115,2694.777397260274,1908.9473684210525,1996.6887417218543,2461.13074204947,2509.491268033409,2863.818424566088,2436.7052023121387,1795.47471162378,2288.0023296447293,2595.5555555555557,2733.9357429718875,3057.760663507109,2255.681818181818,3441.1554921540655,1341.6271721958926,2288.0208333333335,1866.4688427299702,2116.0102739726026,1971.774193548387,1310.5828220858896,2825.654704170708,3018.2481751824816,2639.72602739726,2647.5966562173458,2352.23642172524,2513.8349514563106,2173.6353077816493,3048.6111111111113,3500.849424269265,3065.3625954198474,0.0,3115.3846153846152,301.0204081632653,2315.8753808551246,Housing Prices
Median Contract Rent,2111.7245005257623,2406.008583690987,3098.136645962733,809.2307692307693,2033.2323232323233,1208.03808680248,3030.6397306397307,2779.186935371786,2547.640653357532,1863.2264529058116,1790.6976744186047,2386.015325670498,2431.1263318112633,2683.106575963719,2329.805491990847,1770.544783010157,2213.9830508474574,2595.5555555555557,2591.114457831325,2937.854710556186,2187.5,3325.334143377886,1203.931203931204,2241.578014184397,1764.4787644787646,1936.2745098039215,1907.6923076923076,1164.9096385542168,2755.4726368159204,2843.396226415094,2462.2302158273383,2471.1466865227103,2240.2702702702704,2427.231025854879,2064.991334488735,2897.0588235294117,3500.678535096643,2958.3333333333335,0.0,3115.3846153846152,275.0,2226.762180511182,Housing Prices
Median Rent as % of Household Income,26.06596638655462,21.91678048780488,20.958813413585553,31.09259259259259,26.35114503816794,30.496993499458288,20.509456264775412,20.96057098765432,23.173969631236442,24.78813151563753,22.647435897435898,22.292954545454545,23.196373626373624,20.493478260869566,21.463842662632374,27.50922370617696,21.6819947043248,24.084615384615383,22.76404011461318,21.918979933110368,20.57361111111111,21.951615646258503,32.65065466448445,22.723491773308957,23.77408906882591,28.827345309381236,31.273497267759563,30.308720930232557,23.247575169738116,22.5865329512894,27.907038834951457,25.707453703703703,32.739285714285714,21.990778251599146,24.56637380191693,30.26818181818182,23.570436507936506,22.516623711340205,0.0,27.62222222222222,32.279545454545456,24.804805996472663,Housing Prices
Rent Burdened,0.4163614163614164,0.32440725244072527,0.3135757437592614,0.49742823958851834,0.4013777812970148,0.48557747121194844,0.2534074801003162,0.2854421158803093,0.26738305941845764,0.33459694503289106,0.3603258265452803,0.2965130455986345,0.28904002092597436,0.22789171452009843,0.3242874469375379,0.4151239102752473,0.3071600481347774,0.4281150159744409,0.2366412213740458,0.2706405693950178,0.3037974683544304,0.30009276437847865,0.514482990906029,0.2923489932885906,0.3626943005181347,0.41624790619765495,0.48161993769470407,0.4775051124744376,0.34565434565434566,0.2756339581036384,0.42189473684210527,0.3596369460758142,0.49718658564033313,0.28772919605077574,0.3426137924718381,0.46846846846846846,0.32231404958677684,0.3403024911032028,0.0,0.14285714285714285,0.788135593220339,0.354953207802458,Housing Prices
Extremely Rent Burdened,0.19027269027269028,0.18312412831241284,0.1283483415023367,0.24705491952878714,0.17641935228442474,0.2197012883365637,0.09453712790317305,0.14087190406813851,0.12420986093552465,0.17906121083732857,0.2208912314326785,0.1528895391367959,0.11443892231232017,0.09253486464315012,0.17692540933899334,0.19776667646194535,0.15415162454873646,0.2124600638977636,0.08505997818974918,0.10907473309608541,0.17563291139240506,0.1449443413729128,0.2692825867295386,0.16026845637583892,0.20259067357512953,0.22445561139028475,0.2,0.26380368098159507,0.1825317539603254,0.15545755237045203,0.19073684210526315,0.18526428190069408,0.36416835471528247,0.14809590973201692,0.15843941752907775,0.27927927927927926,0.18482344102178813,0.1534697508896797,0.0,0.0,0.0423728813559322,0.17319201713834706,Housing Prices
