Category,Attribute,North Beach,Russian Hill,Financial District,Chinatown,Nob Hill,Tenderloin,Marina,Pacific Heights,Presidio Heights,Western Addition,Japantown,Lone Mountain/USF,Hayes Valley,Haight Ashbury,Castro/Upper Market,South of Market,Mission,Treasure Island,Twin Peaks,Noe Valley,Glen Park,Potrero Hill,Bayview Hunters Point,Bernal Heights,Outer Mission,Excelsior,Portola,Visitacion Valley,Inner Sunset,West of Twin Peaks,Oceanview/Merced/Ingleside,Sunset/Parkside,Lakeshore,Inner Richmond,Outer Richmond,Seacliff,Presidio,Mission Bay,Lincoln Park,Golden Gate Park,McLaren Park
Housing,For Rent,0.24929445,0.168986083,0.137571157,0.403606103,0.167043911,0.420032976,0.053200333,0.121490556,0.147806005,0.225,0.390334572,0,0.248736097,0.150295858,0.155435759,0.381099127,0.248442044,0.329268293,0.167247387,0.055229142,0.069230769,0.112115732,0.094072165,0.13215859,0.057971014,0.142284569,0,0.202702703,0.034916201,0.07606264,0.185365854,0.082397004,0.526610644,0.061099796,0.12026862,0,0,0.497854077,0,0,0
Housing,For Sale Only,0.032925682,0.019880716,0.091397849,0,0.008601177,0,0.019950125,0,0.122401848,0.007638889,0,0,0.063700708,0.031952663,0.007187781,0.028762198,0.017449107,0,0.142857143,0,0,0,0.082474227,0.041116006,0,0,0.12,0,0,0.108501119,0.053658537,0.032958801,0,0.105906314,0.016483516,0.170542636,0,0.035407725,0,0,0
Housing,"Rented or Sold, Not Occupied",0,0.160371107,0.129981025,0.069348128,0.086464464,0.109645507,0.215295096,0.205206738,0.327944573,0.166666667,0,0.204301075,0.323559151,0.26035503,0.3737646,0.218798151,0.271292065,0.304878049,0.543554007,0.509988249,0.084615385,0.132007233,0.070876289,0.380323054,0,0.104208417,0,0.155405405,0.410614525,0.343400447,0.009756098,0.527340824,0.18767507,0.260692464,0.191697192,0.162790698,0,0.144849785,0,0,0
Housing,"For Seasonal, Recreation or Occasional Use",0.333019755,0.306163022,0.587286528,0.074895978,0.325033952,0.05358615,0.344139651,0.292496172,0.133949192,0.21875,0.215613383,0.161290323,0.056622851,0.288757396,0.330637916,0.128916281,0.181553801,0,0.118466899,0.247943596,0.069230769,0.247739602,0.114690722,0.185022026,0,0.022044088,0,0.358108108,0.244413408,0.137583893,0.173170732,0.113108614,0.075630252,0.17311609,0.173992674,0.465116279,1,0.228540773,0.555555556,0,0
Housing,Other Vacant,0.384760113,0.344599072,0.053763441,0.452149792,0.412856496,0.416735367,0.367414796,0.380806534,0.267898383,0.381944444,0.394052045,0.634408602,0.307381193,0.268639053,0.132973944,0.242424242,0.281262983,0.365853659,0.027874564,0.186839013,0.776923077,0.508137432,0.637886598,0.261380323,0.942028986,0.731462926,0.88,0.283783784,0.310055866,0.334451902,0.57804878,0.244194757,0.210084034,0.399185336,0.497557998,0.201550388,0,0.093347639,0.444444444,0,1
Housing,Median Year Moved in to Unit (Own),2006.146667,2006.950355,2011.286563,2004.573864,2003.485523,2009.815951,2003.873239,2005.693431,2005.259179,2006.641791,2005,2003.365201,2010.47089,2006.022222,2005.025473,2012.533333,2005.565476,0,2002.649457,2005.387524,2002.503477,2007.714133,2002.678571,2002.525473,2000.579024,1997.148584,1997.671504,1997.189349,1998.91232,1998.809633,2001.375748,1997.207739,2010.982143,1997.91185,1995.841224,2001.685083,2005,2011.722222,2005,0,1991.25
Housing,Median Year Moved in to Unit (Rent),2010.999278,2012.099624,2014.833689,2009.541234,2011.806911,2011.915939,2012.998468,2012.809027,2011.869607,2011.656362,2013.070962,2012.224895,2012.388889,2012.408994,2011.624545,2012.960712,2011.168339,2012.152778,2011.734694,2012.859366,2010.382231,2014.135649,2010.578001,2011.82284,2010.440141,2009.007867,2010.440705,2010.689569,2012.73595,2012.560503,2011.392019,2011.399484,2011.932723,2011.667452,2010.481457,2013.404255,2013.279468,2015.380914,2012.692308,2011.875,2006.495726
Housing,Percent in Same House Last Year,0.881523032,0.817813765,0.761460981,0.91529674,0.789818567,0.825602156,0.805748465,0.803953527,0.812343539,0.825307651,0.777527457,0.718306636,0.832548269,0.809775775,0.839829558,0.757507413,0.85049273,0.698863636,0.837559531,0.834568865,0.888993415,0.821122422,0.948245029,0.884082976,0.937202741,0.938751829,0.961385647,0.918365214,0.832423337,0.899199332,0.93211975,0.915622634,0.597343634,0.869201521,0.887007267,0.940940137,0.840086831,0.694968796,0.814102564,0.793650794,0.98816568
Housing,Percent Abroad Last Year,0.04045555,0.024957018,0.021180457,0.006129841,0.022082497,0.012801078,0.01352816,0.01412571,0.017331023,0.020777599,0.019994368,0.026086957,0.011387753,0.013044845,0.026867011,0.024265965,0.010044104,0.006016043,0.01596087,0.011618329,0.007878645,0.014264666,0.005765381,0.009067929,0.010278114,0.003254124,0.0065185,0.009355075,0.012911645,0.007093863,0.008005264,0.009194813,0.029816358,0.008857079,0.006870733,0.013660104,0.012542209,0.05508899,0.019230769,0,0
Housing Prices,Median Rent,1771.383648,2239.775461,2836.666667,686.0294118,1745.461721,1034.249696,2480.759298,2471.111805,2195.776256,1445.670628,1469.936709,2010.822511,2065.360915,2274.294671,2214.6098,1246.932515,1727.80083,2105.714286,2170.068027,2444.860814,1725.364964,2356.382979,1105.291971,1888.540031,1779.301746,1718.453189,1865.521327,1353.365385,2275.31883,2696.759259,2067.982456,2178.699897,1994.857595,2053.018868,1927.354472,2483.870968,3364.369501,3131.163708,2342.105263,2225,280.3571429
